state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count
9,19,13,1246,974,256,16,0,0
9,19,14,1664,982,506,134,42,0
9,19,17,1490,1061,393,34,2,0
9,19,18,1824,997,482,132,213,0
9,19,21,1147,629,361,119,38,0
9,19,22,1059,506,401,130,22,0
9,19,34,1637,995,510,121,11,0
9,19,35,1530,832,602,82,14,0
9,20,8,13865,11428,1907,368,161,1
9,20,15,16905,8560,5041,1995,1309,0
9,20,18,841,559,241,38,3,0
9,20,23,825,656,126,34,9,0
9,20,27,1709,1201,412,86,10,0
9,20,28,2475,1195,895,313,72,0
9,20,35,627,195,274,87,71,0
9,21,2,7548,3734,2682,858,274,0
9,21,3,5658,1900,2307,1079,372,0
9,21,4,184,54,102,11,17,0
9,21,6,1842,1216,440,118,68,0
9,21,7,1928,769,550,298,311,0
9,21,9,2288,560,644,534,550,0
9,22,7,6047,4456,1099,343,149,0
9,22,10,2319,1154,847,225,93,0
9,22,17,1321,681,541,86,13,0
9,22,18,1670,809,608,164,89,0
9,22,23,996,546,296,126,28,0
9,22,24,1609,617,782,146,64,0
9,22,27,1321,847,432,30,12,0
9,22,31,226,5,75,59,86,1
9,22,33,321,12,126,103,80,0
9,23,3,4895,3525,865,284,221,0
9,23,6,7006,4363,1816,567,260,0
9,23,9,1736,984,625,116,11,0
9,23,11,1173,765,310,79,19,0
9,24,5,5404,4361,899,134,10,0
9,24,6,6446,3351,2093,696,306,0
9,24,18,166,35,81,22,28,0
9,25,6,2771,2250,407,102,12,0
9,25,7,8452,4140,2676,1008,628,0
9,26,7,3494,2555,843,85,11,0
9,26,8,1755,1071,518,153,13,0
9,26,12,2093,1047,839,161,46,0
9,26,15,741,386,217,66,72,0
9,26,23,1226,779,345,92,10,0
9,27,4,2236,1477,648,57,54,0
9,27,5,1037,520,373,89,55,0
9,27,8,3129,2143,820,136,30,0
9,27,10,4030,1700,1811,420,99,0
9,28,10,16514,13301,2367,549,297,0
9,28,17,28106,8631,12389,4836,2249,1
9,29,5,3100,2272,748,65,15,0
9,29,6,3340,1871,1171,221,77,0
9,29,10,3037,2447,537,47,6,0
9,29,11,2091,1260,682,115,34,0
9,30,6,8038,5600,1906,409,123,0
9,30,7,6858,4420,1984,347,107,0
9,30,13,1878,1022,677,153,26,0
9,30,18,3225,2329,781,100,15,0
9,30,19,2338,1287,697,204,150,0
9,30,20,186,85,50,36,15,0
9,30,24,1083,557,407,113,6,0
9,30,27,1238,708,403,74,53,0
9,30,35,831,517,284,28,2,0
9,31,11,5651,3776,1454,345,76,0
