year,state_code,dist_code,court_no,mean_days,median_days
2010,7,21,1,757.560975609756,750.0
2010,7,23,1,2923.323529411765,2895.0
2010,7,24,1,2963.315789473684,2878.0
2010,7,13,1,1347.6760563380283,1035.0
2010,7,16,1,918.4328358208955,812.0
2010,7,1,3,1602.304347826087,1607.0
2010,7,3,5,1221.1742424242425,868.0
2010,7,4,4,1206.1742738589212,966.0
2010,7,6,5,1074.5877192982457,966.5
2010,7,7,3,2504.7200854700855,2673.0
2010,7,8,5,1850.4117647058824,1823.5
2010,7,9,5,2096.7702702702704,1879.0
2010,7,10,4,2106.5833333333335,1871.0
2010,7,11,2,1182.392857142857,1023.0
2010,7,14,3,1288.4072022160665,1234.0
2010,7,15,2,1108.1013333333333,1002.0
2010,7,17,3,1481.6077348066299,1579.0
2010,7,18,2,2025.4,1947.0
2010,7,19,5,1061.9562737642586,971.0
2010,7,20,2,1532.7977142857144,1588.0
2010,7,22,4,1878.0779681039576,1816.0
2010,7,24,3,2832.0555555555557,2800.5
2010,8,3,2,1789.625,1532.0
2010,8,17,5,1685.5,1685.5
2010,8,18,4,1876.0756097560975,1626.5
2010,8,31,1,1599.3115727002967,1576.0
2010,8,33,1,3099.9220779220777,3123.5
2010,8,34,4,3059.843091334895,3072.0
2010,8,35,1,3051.5990853658536,3058.0
2010,8,36,1,2983.8888888888887,2990.0
2010,8,1,11,3076.608695652174,3038.0
2010,8,2,2,1058.875,934.5
2010,8,4,2,1588.5051124744377,1404.0
2010,8,5,3,2652.175257731959,2934.0
2010,8,6,2,1142.7532467532467,1237.0
2010,8,6,5,1604.5,1604.5
2010,8,7,2,1920.759825327511,1814.0
2010,8,9,2,1201.0012953367875,1182.5
2010,8,10,1,2206.387417218543,2501.5
2010,8,11,1,1250.289079229122,1213.0
2010,8,12,2,1258.3333333333333,1205.5
2010,8,13,1,1344.9771825396826,1219.5
2010,8,14,1,1436.9975369458127,1400.0
2010,8,15,3,1941.6101694915253,1716.5
2010,8,19,2,1698.060606060606,1679.0
2010,8,20,1,1496.0869565217392,1431.0
2010,8,21,2,1453.6557971014493,1386.5
2010,8,22,2,1516.609243697479,1363.0
2010,8,23,2,1334.0701956271575,1262.0
2010,8,24,1,1725.8009828009829,1691.0
2010,8,25,1,1450.4193548387098,1427.0
2010,8,26,1,1431.065982404692,1388.0
2010,8,27,1,1440.8277777777778,1383.5
2010,8,28,2,1382.4909688013136,1344.0
2010,8,29,1,1411.4794156706507,1293.0
2010,8,30,1,1422.6526315789474,1462.0
2010,8,30,4,3055.907192575406,3080.0
2010,8,37,1,3071.3636363636365,3078.5
2010,8,38,1,3029.440322580645,3034.0
2010,8,39,1,3040.6710875331564,3037.0
2010,8,1,9,2938.1313320825516,2997.0
2010,8,2,3,1645.9707792207791,1555.0
2010,8,3,3,1730.60103626943,1436.0
2010,8,3,6,2207.8863636363635,2070.0
2010,8,3,9,2264.516129032258,1972.5
2010,8,4,4,1947.8542141230068,1788.0
2010,8,5,4,1833.4695863746958,1240.0
2010,8,6,3,1332.2646898803048,1313.0
2010,8,6,6,1944.36,1956.0
2010,8,6,8,3233.0,3312.0
2010,8,7,3,2074.5204991087344,1923.0
2010,8,9,1,3057.6666666666665,3077.0
2010,8,9,3,1337.1954949944384,1312.0
2010,8,9,8,3216.7419354838707,3236.0
2010,8,10,3,2104.1640885653624,2001.0
2010,8,11,3,1260.091755319149,1236.5
2010,8,12,3,1441.8198412698412,1348.5
2010,8,13,3,1592.0009216589863,1332.0
2010,8,13,6,1681.4101587301586,1637.0
2010,8,14,3,1578.8007834359262,1590.0
2010,8,15,4,1892.698224852071,1356.0
2010,8,16,2,1317.3309957924264,1372.0
2010,8,16,4,1406.013392857143,1370.5
2010,8,17,4,1392.567857142857,1139.0
2010,8,17,7,2167.714285714286,2477.0
2010,8,18,3,1630.2147102526003,1623.0
2010,8,18,5,1819.2292724196277,1793.0
2010,8,19,3,1584.345855694693,1557.0
2010,8,20,3,1294.9840810419682,1262.0
2010,8,21,3,1689.2374362709395,1578.5
2010,8,22,3,1453.8156073001887,1369.0
2010,8,23,3,1521.8656126482213,1406.0
2010,8,24,3,1796.9440607734807,1763.0
2010,8,25,3,1517.9821615949634,1501.0
2010,8,26,2,1430.6651785714287,1400.0
2010,8,27,2,1674.3403041825095,1683.0
2010,8,28,1,1379.1328400281889,1387.5
2010,8,29,3,1944.3603071470761,1764.5
2010,8,30,3,1414.7556532663316,1364.5
2010,8,30,5,3085.2362440191387,3098.0
2010,8,33,2,3080.558485139022,3100.0
2010,8,34,5,3068.961515689757,3078.0
2010,8,35,2,3091.008391608392,3098.0
2010,8,35,4,2990.7083333333335,2959.5
2010,8,36,2,3034.9562594268477,3062.0
2010,8,38,2,3075.688269073011,3089.0
2010,8,38,5,3079.8223529411766,3093.0
2010,8,39,2,3050.4535418583255,3075.0
2010,8,1,12,3169.5081967213114,3147.0
2010,8,1,15,3114.3333333333335,3124.0
2010,8,1,17,2996.8333333333335,3012.0
2010,8,5,2,3091.95,3093.5
2010,8,6,11,3108.4651162790697,3123.0
2010,8,6,13,3155.25,3197.0
2010,8,10,4,3087.086956521739,3110.0
2010,8,12,5,3087.8791946308725,3087.0
2010,8,14,5,3009.304347826087,3001.0
2010,8,17,9,3065.3,3056.0
2010,8,18,8,3044.5593220338983,3035.0
2010,8,22,5,3067.2542857142857,3071.5
2010,8,31,4,3058.855769230769,3062.5
2010,8,34,2,1639.8695652173913,1586.0
2010,8,36,5,3062.6256684491977,3078.5
2010,8,37,2,3058.4333333333334,3066.5
2010,9,1,11,960.6774193548387,652.0
2010,9,2,11,875.2768595041322,822.0
2010,9,6,8,324.42748091603056,130.0
2010,9,7,11,701.9411764705883,646.0
2010,9,8,11,1177.8333333333333,874.0
