,state_code,dist_code,court_no,transfers_in,transfers_out,avg_judge_count
165,1.0,7.0,61.0,1.0,0.0,1.0
166,1.0,7.0,62.0,1.0,0.0,1.0
167,1.0,7.0,63.0,2.0,0.0,1.674136567360928
168,1.0,7.0,64.0,9.0,0.0,5.408141403320836
169,1.0,7.0,65.0,3.0,0.0,2.136337039204213
170,1.0,7.0,66.0,17.0,0.0,8.330073880921338
171,1.0,7.0,67.0,6.0,0.0,2.9580617122990005
172,1.0,7.0,68.0,1.0,0.0,1.0
173,1.0,7.0,69.0,37.0,0.0,17.932590233545646
174,1.0,7.0,71.0,22.0,0.0,12.739611440906637
175,1.0,7.0,72.0,6.0,0.0,2.4356631266979503
176,1.0,7.0,73.0,21.0,0.0,12.113599568267674
177,1.0,7.0,74.0,2.0,0.0,1.922912205567452
178,1.0,8.0,1.0,79.0,0.0,36.66325645916421
179,1.0,8.0,2.0,76.0,0.0,30.548833947045416
180,1.0,8.0,3.0,75.0,0.0,28.034700315457414
181,1.0,8.0,4.0,53.0,0.0,22.832556533747628
182,1.0,8.0,5.0,53.0,0.0,22.324774462179043
183,1.0,8.0,6.0,41.0,0.0,17.337228409713347
184,1.0,8.0,7.0,36.0,0.0,14.662220026350461
185,1.0,8.0,8.0,56.0,0.0,25.165190674136998
186,1.0,8.0,9.0,62.0,0.0,27.738113948919448
187,1.0,8.0,10.0,52.0,0.0,23.454449894884373
188,1.0,8.0,11.0,41.0,0.0,23.085428122545167
189,1.0,8.0,12.0,29.0,0.0,17.392372204472842
190,1.0,8.0,13.0,27.0,0.0,16.557956381260098
191,1.0,8.0,14.0,7.0,0.0,6.177304964539007
192,1.0,8.0,15.0,20.0,0.0,10.822003577817531
193,1.0,8.0,16.0,17.0,0.0,9.779246974450919
194,1.0,8.0,17.0,17.0,0.0,12.553143880062654
195,1.0,8.0,18.0,16.0,0.0,10.84291787872007
196,1.0,8.0,19.0,18.0,0.0,10.863989349900155
197,1.0,8.0,20.0,12.0,0.0,9.18272
198,1.0,8.0,21.0,16.0,0.0,8.136001929105378
199,1.0,8.0,22.0,9.0,0.0,5.866800703694396
200,1.0,8.0,23.0,8.0,0.0,3.790408958130477
201,1.0,8.0,24.0,5.0,0.0,3.2527704485488127
202,1.0,8.0,25.0,9.0,0.0,5.505525734133249
203,1.0,8.0,26.0,7.0,0.0,3.972878625134264
204,1.0,8.0,27.0,4.0,0.0,2.9164876476906554
205,1.0,8.0,28.0,4.0,0.0,2.9314750290360045
206,1.0,8.0,29.0,9.0,0.0,6.59094719195306
207,1.0,8.0,30.0,9.0,0.0,4.5254576659038905
208,1.0,8.0,31.0,5.0,0.0,4.238569206842924
209,1.0,8.0,32.0,2.0,0.0,1.50944
210,1.0,8.0,33.0,2.0,0.0,1.502683928007578
211,1.0,8.0,34.0,2.0,0.0,1.502683928007578
212,1.0,8.0,35.0,2.0,0.0,1.4692211055276383
213,1.0,9.0,1.0,178.0,0.0,78.26679841897233
214,1.0,9.0,2.0,128.0,0.0,51.46616075576893
215,1.0,9.0,3.0,71.0,0.0,29.57168313623846
216,1.0,9.0,4.0,4.0,0.0,1.8101545253863134
217,1.0,9.0,5.0,25.0,0.0,13.471665810648862
218,1.0,9.0,6.0,35.0,0.0,15.622115877627756
219,1.0,9.0,8.0,2.0,0.0,1.774793388429752
220,1.0,9.0,9.0,31.0,0.0,10.264536243180046
221,1.0,9.0,10.0,32.0,0.0,16.50077177508269
222,1.0,9.0,12.0,87.0,0.0,44.4720013534089
223,1.0,9.0,13.0,48.0,0.0,22.90537127462536
224,1.0,9.0,14.0,85.0,0.0,36.31234096692112
225,1.0,9.0,15.0,83.0,0.0,40.76467602774488
226,1.0,9.0,16.0,79.0,0.0,40.200135340889865
227,1.0,9.0,17.0,96.0,0.0,47.51553838400806
228,1.0,9.0,18.0,99.0,0.0,47.50766122242802
229,1.0,9.0,19.0,95.0,0.0,45.605555555555554
230,1.0,9.0,20.0,50.0,0.0,24.685200739123133
231,1.0,9.0,21.0,46.0,0.0,23.788360683471495
232,1.0,9.0,22.0,52.0,0.0,25.76818410885268
233,1.0,9.0,23.0,100.0,0.0,49.65516080148173
234,1.0,9.0,24.0,50.0,0.0,24.451422798450917
235,1.0,9.0,25.0,39.0,0.0,24.01239029426949
236,1.0,9.0,27.0,109.0,0.0,53.0586259029061
237,1.0,9.0,30.0,14.0,0.0,6.215744400527009
238,1.0,9.0,31.0,53.0,0.0,20.148558067030397
239,1.0,9.0,35.0,14.0,0.0,8.29351410773177
240,1.0,9.0,36.0,62.0,0.0,32.02088677171125
241,1.0,9.0,39.0,14.0,0.0,8.932383419689119
242,1.0,9.0,44.0,36.0,0.0,19.689601075750783
243,1.0,9.0,47.0,38.0,0.0,17.537728194726167
244,1.0,9.0,50.0,36.0,0.0,18.003081664098612
245,1.0,9.0,55.0,23.0,0.0,14.902547065337764
246,1.0,9.0,58.0,38.0,0.0,20.09390407888839
247,1.0,9.0,65.0,18.0,0.0,10.978201634877385
248,1.0,9.0,69.0,41.0,0.0,22.757656853999404
249,1.0,9.0,70.0,19.0,0.0,11.908117752007136
250,1.0,9.0,72.0,18.0,0.0,11.468926553672317
251,1.0,9.0,73.0,19.0,0.0,13.862385321100918
252,1.0,9.0,74.0,23.0,0.0,14.310155535224153
253,1.0,10.0,1.0,32.0,0.0,14.52793400824897
254,1.0,10.0,2.0,26.0,0.0,11.369205965336558
255,1.0,10.0,3.0,4.0,0.0,2.7500570125427592
256,1.0,10.0,4.0,12.0,0.0,7.071243523316062
257,1.0,10.0,5.0,13.0,0.0,6.716111915098891
258,1.0,10.0,6.0,12.0,0.0,6.847563917028461
259,1.0,10.0,7.0,18.0,0.0,8.879401833092137
260,1.0,10.0,8.0,15.0,0.0,8.281717317896767
261,1.0,10.0,9.0,10.0,0.0,5.988904968644476
262,1.0,10.0,10.0,9.0,0.0,4.717232021709633
263,1.0,10.0,12.0,3.0,0.0,1.9765247915752524
264,1.0,10.0,13.0,4.0,0.0,2.4124616059675295
265,1.0,10.0,19.0,2.0,0.0,1.374157748711851
266,1.0,10.0,35.0,1.0,0.0,1.0
267,1.0,10.0,37.0,2.0,0.0,1.842982090795502
268,1.0,10.0,38.0,2.0,0.0,1.8518518518518519
269,1.0,10.0,39.0,4.0,0.0,3.067739204064352
270,1.0,10.0,40.0,1.0,0.0,1.0
271,1.0,10.0,41.0,1.0,0.0,1.0
272,1.0,10.0,42.0,1.0,0.0,1.0
273,1.0,11.0,1.0,26.0,0.0,14.45967960901439
274,1.0,11.0,2.0,6.0,0.0,2.8891752577319587
275,1.0,11.0,3.0,5.0,0.0,3.2653562653562656
276,1.0,11.0,4.0,15.0,0.0,7.5949656750572085
277,1.0,11.0,5.0,18.0,0.0,9.622531293463144
278,1.0,11.0,6.0,13.0,0.0,8.558066361556063
279,1.0,11.0,7.0,17.0,0.0,10.319948186528498
280,1.0,11.0,8.0,9.0,0.0,5.19300518134715
281,1.0,11.0,9.0,14.0,0.0,7.337564766839378
282,1.0,11.0,10.0,11.0,0.0,5.890843248836006
283,1.0,11.0,11.0,4.0,0.0,2.231865284974093
284,1.0,11.0,19.0,10.0,0.0,6.859350237717908
285,1.0,11.0,24.0,5.0,0.0,3.9365582870737508
286,1.0,11.0,32.0,4.0,0.0,2.6511627906976742
287,1.0,11.0,33.0,2.0,0.0,1.5095785440613028
288,1.0,12.0,1.0,47.0,0.0,21.414995640802093
289,1.0,12.0,2.0,1.0,0.0,1.0
290,1.0,12.0,7.0,4.0,0.0,2.4336763865065754
291,1.0,12.0,8.0,3.0,0.0,1.9576901086335048
292,1.0,12.0,9.0,9.0,0.0,5.44568324757004
293,1.0,12.0,10.0,17.0,0.0,11.110733503256867
294,1.0,12.0,12.0,6.0,0.0,3.7717908082408873
295,1.0,12.0,13.0,4.0,0.0,2.533866819091169
296,1.0,12.0,23.0,5.0,0.0,3.247357897743502
297,1.0,13.0,1.0,60.0,0.0,26.50017140898183
298,1.0,13.0,2.0,38.0,0.0,17.07222598105548
299,1.0,13.0,3.0,14.0,0.0,6.098388755570792
300,1.0,13.0,4.0,10.0,0.0,5.821330401319407
301,1.0,13.0,5.0,9.0,0.0,5.288728897715988
302,1.0,13.0,6.0,9.0,0.0,3.395373291272345
303,1.0,13.0,7.0,12.0,0.0,6.9416572717023675
304,1.0,13.0,8.0,4.0,0.0,2.703883495145631
305,1.0,13.0,9.0,20.0,0.0,9.703920136352568
306,1.0,13.0,10.0,18.0,0.0,8.181782489202984
307,1.0,13.0,11.0,21.0,0.0,10.047049441786283
308,1.0,13.0,12.0,18.0,0.0,5.30270092226614
309,1.0,13.0,13.0,13.0,0.0,7.41824
310,1.0,13.0,15.0,14.0,0.0,7.950228832951945
311,1.0,13.0,16.0,16.0,0.0,8.916580310880828
312,1.0,13.0,19.0,12.0,0.0,6.760035682426405
313,1.0,13.0,20.0,5.0,0.0,3.029176201372998
314,1.0,13.0,21.0,10.0,0.0,6.721059113300493
315,1.0,13.0,22.0,6.0,0.0,4.145962732919255
316,1.0,13.0,28.0,16.0,0.0,8.424966078697421
317,1.0,13.0,29.0,2.0,0.0,2.0
318,1.0,13.0,31.0,17.0,0.0,8.241595696996862
319,1.0,13.0,32.0,1.0,0.0,1.0
320,1.0,13.0,35.0,2.0,0.0,2.0
321,1.0,13.0,38.0,20.0,0.0,10.524360829715388
322,1.0,13.0,40.0,10.0,0.0,3.8566235864297256
323,1.0,13.0,41.0,16.0,0.0,7.333602584814217
324,1.0,13.0,42.0,11.0,0.0,5.70734187512711
325,1.0,13.0,44.0,1.0,0.0,1.0
326,1.0,13.0,45.0,1.0,0.0,1.0
327,1.0,13.0,46.0,1.0,0.0,1.0
328,1.0,13.0,47.0,1.0,0.0,1.0
329,1.0,13.0,48.0,1.0,0.0,1.0
330,1.0,13.0,52.0,6.0,0.0,3.088462438567751
331,1.0,13.0,53.0,3.0,0.0,2.210561497326203
332,1.0,14.0,1.0,112.0,0.0,48.806326662362814
333,1.0,14.0,2.0,80.0,0.0,41.3760490639122
334,1.0,14.0,3.0,44.0,0.0,22.728784501971543
335,1.0,14.0,4.0,27.0,0.0,12.309938689899967
336,1.0,14.0,5.0,21.0,0.0,12.215396578538103
337,1.0,14.0,6.0,16.0,0.0,9.936495176848874
338,1.0,14.0,7.0,15.0,0.0,8.464630225080386
339,1.0,14.0,8.0,1.0,0.0,1.0
340,1.0,14.0,9.0,14.0,0.0,9.257150715071507
341,1.0,14.0,10.0,2.0,0.0,1.8055555555555556
342,1.0,14.0,11.0,5.0,0.0,3.969679300291545
343,1.0,14.0,12.0,5.0,0.0,3.1364116094986807
