state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count)
16,19,10,2003,0.9990024938,911.3333333,1292,3,3,"West Bengal","Bankura","Additional Chief Judicial Magistrate, Bishnupur",2919,2908,654,817.122077,2921.914628
16,20,8,9914,3.880234834,1130.75,1110,12,12,"West Bengal","South Twenty Four Parganas","Additional Chief Judicial Magistrate Establishment",7208,6212,322,439.9417257,1857.619528
16,20,12,5316,2.912876712,834.3333333,849,9,9,"West Bengal","South Twenty Four Parganas","Additional Chief Judicial Magistrate",7571,5203,611,841.9913511,2599.148796
16,20,15,6552,3.590136986,1184.5,1274,8,8,"West Bengal","South Twenty Four Parganas","Additional Chief Judicial Magistrate Establishment",3878,2718,318.5,573.8811626,1080.181624
16,20,20,2099,0.9995238095,707.5,687.5,4,4,"West Bengal","South Twenty Four Parganas","Additional Chief Judicial Magistrate",5746,3578,566,831.8292342,5748.737494
16,22,2,8620,4.37785678,681.9444444,732.5,18,18,"West Bengal","Nadia","Addl. Chief Judicial Magistrate",4194,3927,665,956.7112299,958.0030162
16,22,13,1824,0.9994520548,851.3333333,853,3,3,"West Bengal","Nadia","tehacjmdb",2821,2568,734,1014.406153,2822.546601
16,22,18,1999,0.9950223992,1365,1365,2,2,"West Bengal","Nadia","Addl. Chief Judicial Magistrate ranaghat",6679,3464,639,886.7699192,6712.411706
17,11,1,13966,4.250152161,549.2307692,521,39,39,"Gujarat","GANDHINAGAR","Gandhinagar District",22744,22375,20,276.0002235,5351.33782
17,13,1,21945,6.678332319,652.3469388,524,49,49,"Gujarat","Ahmedabad","AHMEDABAD DISTRICT COURT",46919,46761,25,342.023695,7025.556345
17,14,1,33046,10.05660377,498.4842105,341,96,95,"Gujarat","SURAT","District Court, Surat",55162,53485,12,247.4878751,5485.15197
17,15,1,13829,6.706595538,701.7037037,600,27,27,"Gujarat","Mahesana","DISTRICT COURT, MEHSANA",24609,24483,36,333.5947392,3669.372912
17,16,1,17289,5.261412051,642.6578947,611.5,38,38,"Gujarat","RAJKOT","DISTRICT COURT - RAJKOT",34436,34348,87,343.4992722,6545.011047
17,17,1,12179,5.909267346,568.6363636,486,33,33,"Gujarat","Amreli","DISTRICT AND SESSIONS COURT AMRELI",11591,11574,61,297.5084673,1961.495279
17,18,1,11420,6.821983274,551.2,546,30,30,"Gujarat","Anand","DISTRICT COURT, ANAND",30919,30036,52,354.5936543,4532.25972
17,19,1,20843,10.23220422,759.3589744,721,39,39,"Gujarat","Banaskanth at Palanpur","DISTRICT AND SESSION COURT PALANPUR",18642,18556,23,288.6024466,1821.894833
17,20,1,15834,7.678952473,574.7435897,355,39,39,"Gujarat","Bharuch","DISTRICT COURT, BHARUCH",18500,17025,34,292.4253744,2409.182771
17,21,1,18729,9.087336245,553.8723404,552,47,47,"Gujarat","Bhavnagar","bhavnagar_district Court",38604,34756,32,360.4110657,4248.109563
17,22,1,11082,5.38483965,618.72,558,25,25,"Gujarat","Dahod","dahod_district",16640,16616,62,399.3152985,3090.157011
17,23,1,11405,5.533721494,594.7586207,557,29,29,"Gujarat","Jamnagar","DISTRICT AND SESSIONS COURT, JAMNAGAR",21097,21001,27,379.3992667,3812.443402
17,24,1,16656,8.081513828,540.3255814,533,43,43,"Gujarat","Junagadh","DISTRICT COURT, JUNAGADH",21910,21818,152,494.5626547,2711.12572
17,25,1,9170,4.449296458,710.1875,819.5,16,16,"Gujarat","Kheda at Nadiad","DISTRICT COURT, NADIAD",38650,38554,86,389.5071069,8686.76663
17,26,1,15693,7.625364431,552.3333333,425,39,39,"Gujarat","kachchh at Bhuj","District and Sessions Court Bhuj",14725,14713,56,396.2599742,1931.055248
17,27,1,4889,2.372149442,868,998,9,9,"Gujarat","Panchmahal at Godhra","District Court, Godhra",29592,29448,120,543.5727044,12474.76212
17,28,1,10498,6.385644769,707.5,710.5,20,20,"Gujarat","Patan","DISTRICT AND SESSIONS COURT PATAN",20976,20872,27,391.6771752,3284.867975
17,29,1,15718,7.946410516,736.1538462,617,27,26,"Gujarat","Sabarkantha at Himmatnagar","DISTRICT AND SESSIONS COURT SABARKANTHA",17585,17370,24,326.3496258,2212.948848
17,30,1,6841,2.901187447,641.375,645.5,17,16,"Gujarat","Surendranagar","District Court, Surendranagar",12857,11591,106,338.8863774,4431.633679
17,31,1,20173,7.904780564,788.5151515,623,33,33,"Gujarat","Vadodara","vadodara_district Court",49768,49548,26,389.3876645,6295.936945
17,32,1,13010,7.652941176,725.6071429,752.5,28,28,"Gujarat","Navsari","navsari_district Court",10666,10637,14,275.4855692,1393.712529
17,33,1,6539,2.800428266,499.9375,259.5,16,16,"Gujarat","Narmada","DISTRICT COURT, RAJPIPLA",6423,6010,68,290.7139767,2293.577764
17,34,1,6223,4.470545977,609.8,725,15,15,"Gujarat","Tapi","tapi_district Court",6557,6531,16,239.4792528,1466.711233
17,35,1,11026,4.320532915,629.4761905,523,21,21,"Gujarat","Valsad","valsad_district Court",17710,17689,6,209.7773758,4099.03138
17,36,1,5826,3.429075927,861.5454545,784,11,11,"Gujarat","Porbandar","DISTRICT AND SESSIONS COURT, PORBANDAR",10153,10037,6,204.2339344,2960.85599
