,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
915,26.0,6.0,1.0,55988.0,55524.0,93.0,226.28872199409264
916,26.0,7.0,1.0,60725.0,59831.0,87.0,196.53343584429476
917,26.0,8.0,1.0,89385.0,83836.0,165.0,346.9136289899327
918,26.0,9.0,1.0,50388.0,47352.0,141.0,337.2431576279777
919,26.0,10.0,1.0,42197.0,41835.0,179.0,355.1636667861838
920,26.0,11.0,1.0,34251.0,33427.0,129.0,298.76216830705715
921,27.0,1.0,1.0,62430.0,61586.0,126.0,260.5100185107005
922,29.0,1.0,1.0,16403.0,16168.0,21.0,275.2997897080653
923,29.0,1.0,10.0,2330.0,2134.0,282.0,452.1630740393627
924,29.0,3.0,1.0,10863.0,10862.0,589.0,718.144724728411
925,29.0,3.0,16.0,1092.0,1092.0,465.0,611.0961538461538
926,29.0,3.0,24.0,74.0,74.0,1366.0,1416.972972972973
927,29.0,4.0,1.0,17826.0,17723.0,331.0,465.6826722338205
928,29.0,4.0,10.0,1507.0,1506.0,514.0,658.1022576361222
929,29.0,5.0,1.0,11610.0,11601.0,219.0,381.42703215240067
930,29.0,5.0,18.0,943.0,943.0,297.0,394.2608695652174
931,29.0,5.0,24.0,1347.0,1325.0,460.0,518.593962264151
932,29.0,5.0,25.0,136.0,136.0,1011.0,1017.1911764705883
933,29.0,6.0,1.0,6671.0,6636.0,463.0,587.6778179626281
934,29.0,6.0,11.0,1812.0,1807.0,625.0,742.6203652462646
935,29.0,6.0,12.0,85.0,85.0,922.0,918.3529411764706
936,29.0,7.0,8.0,243.0,242.0,964.0,1164.3223140495868
937,29.0,7.0,24.0,423.0,423.0,521.0,796.5957446808511
938,29.0,8.0,2.0,797.0,796.0,325.5,493.7173366834171
939,29.0,8.0,13.0,10813.0,10799.0,387.0,565.2910454671729
940,29.0,8.0,14.0,224.0,224.0,442.0,624.2366071428571
941,29.0,9.0,1.0,40597.0,40413.0,340.0,545.2920347412961
942,29.0,9.0,15.0,91.0,91.0,1276.0,1339.5934065934066
943,29.0,9.0,26.0,2518.0,2518.0,336.0,529.5083399523431
944,29.0,9.0,27.0,1051.0,1051.0,398.0,658.9058039961941
945,29.0,10.0,1.0,16342.0,16295.0,353.0,516.6737035900583
946,29.0,10.0,8.0,936.0,936.0,666.0,801.3547008547008
947,29.0,10.0,15.0,279.0,279.0,708.0,905.5698924731183
948,30.0,1.0,1.0,21672.0,21427.0,215.0,398.3184766882905
949,30.0,2.0,1.0,18336.0,18176.0,184.0,329.3565691021127
950,31.0,1.0,1.0,3114.0,2315.0,54.0,237.4742980561555
951,31.0,2.0,1.0,8040.0,7642.0,78.0,325.8933525255169
952,32.0,1.0,1.0,9029.0,8655.0,327.0,573.5052570768343
953,1.0,3.0,20.0,5822.0,5776.0,87.5,266.5803324099723
954,2.0,3.0,23.0,115.0,115.0,584.0,758.7130434782608
955,2.0,11.0,28.0,630.0,630.0,515.0,607.8095238095239
956,3.0,3.0,10.0,509.0,505.0,13.0,14.253465346534654
957,3.0,19.0,11.0,570.0,568.0,16.0,21.933098591549296
958,6.0,2.0,9.0,161.0,158.0,400.0,435.43037974683546
959,9.0,2.0,48.0,273.0,247.0,79.0,140.38866396761134
960,9.0,27.0,15.0,246.0,178.0,266.5,468.30337078651684
961,9.0,31.0,17.0,130.0,130.0,1448.0,1466.0923076923077
962,9.0,35.0,34.0,191.0,180.0,15.0,162.35
963,14.0,1.0,1.0,58665.0,51432.0,187.0,357.4049813345777
964,14.0,4.0,12.0,5158.0,5114.0,138.5,392.681071568244
965,15.0,9.0,13.0,14.0,14.0,1635.5,1755.7142857142858
966,1.0,19.0,14.0,5574.0,5556.0,106.0,420.4227861771058
967,1.0,26.0,24.0,4217.0,4188.0,317.0,463.40783190066855
968,3.0,1.0,28.0,742.0,715.0,21.0,292.61678321678323
969,3.0,5.0,11.0,41.0,41.0,24.0,36.926829268292686
970,3.0,7.0,9.0,2.0,2.0,13.0,13.0
971,5.0,9.0,3.0,3.0,3.0,428.0,333.3333333333333
972,9.0,14.0,44.0,123.0,117.0,93.0,123.97435897435898
973,12.0,16.0,2.0,159.0,157.0,265.0,373.05732484076435
974,12.0,17.0,2.0,100.0,100.0,213.0,391.86
975,18.0,24.0,1.0,1952.0,1940.0,427.0,600.0953608247422
976,29.0,1.0,25.0,154.0,154.0,1075.5,1162.2142857142858
977,33.0,1.0,2.0,144.0,144.0,352.5,490.75694444444446
978,33.0,2.0,2.0,227.0,225.0,302.0,477.5022222222222
979,4.0,2.0,47.0,464.0,464.0,494.5,535.4245689655172
980,4.0,5.0,38.0,447.0,447.0,664.0,701.3064876957494
981,6.0,9.0,10.0,158.0,158.0,489.0,522.7025316455696
982,6.0,28.0,1.0,49.0,45.0,101.0,159.06666666666666
983,9.0,7.0,48.0,162.0,157.0,6.0,348.171974522293
984,9.0,19.0,39.0,149.0,129.0,763.0,784.6046511627907
985,9.0,28.0,22.0,177.0,118.0,7.0,249.1271186440678
986,9.0,29.0,18.0,97.0,77.0,71.0,335.75324675324674
987,9.0,32.0,13.0,40.0,24.0,172.0,387.75
988,9.0,38.0,26.0,873.0,816.0,607.0,698.8296568627451
989,11.0,21.0,7.0,666.0,644.0,228.5,305.2003105590062
990,15.0,16.0,1.0,8.0,8.0,474.0,672.25
991,16.0,6.0,10.0,577.0,564.0,194.5,284.3741134751773
992,22.0,23.0,1.0,24036.0,23766.0,104.0,313.9386097786754
993,24.0,3.0,4.0,1188.0,1113.0,42.0,91.75022461814915
994,25.0,3.0,1.0,1405.0,1092.0,71.0,161.92948717948718
995,25.0,4.0,1.0,2435.0,1897.0,69.0,149.62045334739062
996,29.0,1.0,20.0,114.0,114.0,341.5,409.14912280701753
997,29.0,1.0,23.0,67.0,67.0,723.0,815.4925373134329
998,1.0,8.0,11.0,1367.0,1361.0,21.0,124.88317413666422
999,1.0,25.0,24.0,5325.0,5195.0,119.0,334.7813282001925
