,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count,new_clearance_rate
224,2017,3,9,32762,30570,19326,0.58989072706184,13436,0.9330932177522739
225,2017,3,8,12243,10211,6447,0.5265866209262435,5796,0.8340276076125133
226,2017,3,23,43518,38705,21048,0.48366193299324417,22470,0.8894020864929455
227,2017,3,11,20555,22225,10571,0.5142787642909268,9984,1.0812454390659207
228,2017,3,25,9071,9018,4668,0.5146069893065814,4403,0.9941572042773674
229,2017,3,19,20984,20286,10762,0.5128669462447579,10222,0.9667365611894777
230,2017,3,7,15609,13143,7566,0.48472035364212956,8043,0.8420142225639055
231,2017,3,22,34029,28773,15787,0.46392782626583207,18242,0.8455435070087278
232,2017,3,26,58575,48769,26198,0.4472556551429791,32377,0.8325906956892872
233,2017,3,6,21890,19947,9800,0.4476930105070809,12090,0.9112380082229329
234,2017,3,28,16697,14776,7089,0.4245672875366832,9608,0.8849493921063664
235,2017,3,15,35620,35833,19129,0.5370297585626053,16491,1.005979786636721
236,2017,3,18,45712,43808,24957,0.5459616730836542,20755,0.9583479173958698
237,2017,3,16,21850,19956,12946,0.5924942791762013,8904,0.9133180778032036
238,2017,3,10,19913,17530,9061,0.4550293777934013,10852,0.8803294330336966
239,2017,3,30,9103,8230,5282,0.5802482698011644,3821,0.9040975502581566
240,2018,3,3,27283,24179,13195,0.48363449767254335,14088,0.8862295202140527
241,2018,3,4,28757,28641,14368,0.4996348715095455,14389,0.9959661995340265
242,2018,3,1,83037,75780,41325,0.4976697135012103,41712,0.912605224177174
243,2018,3,2,23383,21122,10985,0.4697857417782149,12398,0.9033058204678612
244,2018,3,20,214274,223127,127608,0.5955365559983946,86666,1.041316258622138
245,2018,3,21,55013,43377,27030,0.491338410921055,27983,0.7884863577699817
246,2018,3,12,43964,41939,27082,0.6160040032754072,16882,0.9539395869347648
247,2018,3,5,28233,27090,16778,0.5942691176991464,11455,0.9595154606311763
248,2018,3,27,16075,13904,7081,0.44049766718507,8994,0.864945567651633
