,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
222,2014,1,19,11,IPC,261,527.0,622.2758620689655,118,77,65,1,0
223,2014,1,19,12,IPC,57,557.0,644.7894736842105,20,22,14,1,0
224,2014,1,19,14,IPC,348,10.0,198.4971264367816,276,52,20,0,0
225,2014,1,20,1,IPC,1681,14.0,126.21713265913147,1486,146,48,1,0
226,2014,1,20,3,IPC,1261,783.0,777.2878667724028,370,521,360,10,0
227,2014,1,20,4,IPC,29,1040.0,955.1379310344828,6,10,13,0,0
228,2014,1,20,5,IPC,185,611.0,681.3675675675676,66,70,49,0,0
229,2014,1,20,6,IPC,414,471.5,565.7512077294685,171,181,60,2,0
230,2014,1,20,7,IPC,56,858.0,793.5178571428571,11,31,14,0,0
231,2014,1,20,8,IPC,213,758.0,750.8920187793427,74,60,78,1,0
232,2014,1,20,9,IPC,57,354.0,496.9122807017544,29,19,8,1,0
233,2014,1,20,10,IPC,544,581.5,707.0349264705883,206,181,154,3,0
234,2014,1,20,11,IPC,283,515.0,540.8233215547704,84,185,14,0,0
235,2014,1,20,12,IPC,187,907.0,860.0588235294117,33,93,60,1,0
236,2014,1,20,13,IPC,32,507.0,657.53125,11,12,9,0,0
237,2014,1,20,14,IPC,228,618.0,703.5219298245614,66,107,55,0,0
238,2014,1,20,15,IPC,7,1392.0,1466.0,0,0,7,0,0
239,2014,1,20,16,IPC,194,950.0,801.860824742268,47,77,68,2,0
240,2014,1,20,17,IPC,42,427.0,589.6428571428571,21,11,10,0,0
241,2014,1,20,18,IPC,222,877.0,834.1036036036036,43,96,83,0,0
242,2014,1,20,19,IPC,169,484.0,588.2544378698225,66,72,31,0,0
243,2014,1,20,20,IPC,94,486.5,675.8085106382979,35,35,23,1,0
244,2014,1,20,21,IPC,192,746.5,733.296875,57,85,50,0,0
245,2014,1,20,22,IPC,364,625.5,671.4478021978022,129,147,87,1,0
246,2014,1,21,1,IPC,1154,74.0,376.6949740034662,769,236,143,6,0
247,2014,1,21,2,IPC,152,248.5,480.7236842105263,94,30,27,1,0
248,2014,1,21,4,IPC,883,804.0,844.9932049830124,249,293,338,3,0
249,2014,1,21,5,IPC,368,584.5,682.3016304347826,144,116,104,4,0
250,2014,1,21,6,IPC,804,609.5,677.3221393034826,306,307,181,10,0
251,2014,1,21,7,IPC,301,634.0,672.8006644518273,101,141,58,1,0
252,2014,1,21,8,IPC,205,499.0,584.0341463414634,75,99,31,0,0
253,2014,1,21,9,IPC,2,90.0,90.0,2,0,0,0,0
254,2014,1,21,10,IPC,1,425.0,425.0,0,1,0,0,0
255,2014,1,21,12,IPC,211,222.0,638.696682464455,112,33,63,3,0
256,2014,1,21,13,IPC,172,856.5,790.0116279069767,55,54,61,2,0
257,2014,1,21,14,IPC,372,1057.0,1007.2876344086021,74,124,130,44,0
258,2014,1,21,17,IPC,125,1126.0,928.88,37,21,62,5,0
259,2014,1,21,18,IPC,980,803.5,770.2867346938775,354,268,350,8,0
260,2014,1,21,19,IPC,297,563.0,696.4141414141415,129,80,85,3,0
261,2014,1,21,20,IPC,728,799.0,772.3145604395604,299,126,297,6,0
262,2014,1,21,21,IPC,85,56.0,269.70588235294116,68,10,7,0,0
263,2014,1,21,22,IPC,104,786.0,806.1923076923077,38,26,35,5,0
264,2014,1,21,23,IPC,98,779.5,748.1326530612245,34,36,27,1,0
265,2014,1,21,25,IPC,1328,30.0,153.875,1158,121,48,1,0
266,2014,1,21,26,IPC,345,389.0,597.0782608695653,165,110,66,4,0
267,2014,1,21,27,IPC,227,790.0,826.4933920704846,58,93,70,6,0
268,2014,1,21,28,IPC,45,1360.0,1238.3111111111111,2,13,24,6,0
269,2014,1,23,1,IPC,667,441.0,544.1409295352324,300,266,99,2,0
270,2014,1,23,2,IPC,859,253.0,550.3690337601863,474,190,178,17,0
271,2014,1,23,3,IPC,630,346.0,491.9793650793651,324,237,68,1,0
272,2014,1,23,4,IPC,241,686.0,815.7634854771784,68,97,61,15,0
273,2014,1,23,5,IPC,1842,299.0,531.1492942453855,975,488,376,3,0
274,2014,1,23,6,IPC,1486,320.5,543.0397039030955,770,410,297,9,0
275,2014,1,23,7,IPC,377,57.0,354.0742705570292,278,33,66,0,0
276,2014,1,23,8,IPC,745,544.0,585.041610738255,309,315,121,0,0
277,2014,1,23,9,IPC,1280,622.5,678.0375,457,491,325,7,0
278,2014,1,23,10,IPC,1186,237.0,481.3204047217538,684,271,231,0,0
279,2014,1,23,12,IPC,774,789.0,758.7558139534884,263,247,260,4,0
280,2014,1,23,13,IPC,184,335.5,501.2554347826087,94,57,33,0,0
281,2014,1,23,14,IPC,369,655.0,697.69918699187,117,151,100,1,0
282,2014,1,23,15,IPC,707,492.0,647.5855728429985,270,280,148,9,0
283,2014,1,24,1,IPC,1034,23.0,179.852998065764,876,95,62,1,0
284,2014,1,24,2,IPC,188,649.5,679.7712765957447,71,65,52,0,0
285,2014,1,24,3,IPC,147,616.0,572.7482993197278,50,84,13,0,0
286,2014,1,24,4,IPC,312,416.5,537.2339743589744,139,138,35,0,0
287,2014,1,24,5,IPC,224,658.0,689.5446428571429,61,120,43,0,0
288,2014,1,24,6,IPC,133,1040.0,1002.8646616541354,16,56,59,2,0
289,2014,1,24,7,IPC,116,742.0,725.3189655172414,30,58,28,0,0
290,2014,1,24,8,IPC,179,294.0,515.391061452514,100,46,32,1,0
291,2014,1,24,9,IPC,107,618.0,649.7943925233645,36,51,20,0,0
292,2014,1,24,10,IPC,87,572.0,691.3678160919541,23,46,18,0,0
293,2014,1,24,11,IPC,144,644.5,709.9097222222222,40,72,32,0,0
294,2014,1,24,13,IPC,349,976.0,852.6361031518625,109,101,137,2,0
295,2014,1,24,14,IPC,19,963.0,826.0,4,9,6,0,0
296,2014,1,24,15,IPC,56,266.0,345.05357142857144,38,15,3,0,0
297,2014,1,24,16,IPC,55,404.0,436.74545454545455,24,30,1,0,0
298,2014,1,25,1,IPC,5497,24.0,152.86774604329634,4789,491,212,5,0
299,2014,1,25,3,IPC,1883,566.0,633.481678173128,742,718,415,8,0
300,2014,1,25,4,IPC,833,20.0,122.00600240096038,758,43,32,0,0
301,2014,1,25,5,IPC,336,844.0,813.5327380952381,84,133,114,5,0
302,2014,1,25,6,IPC,292,846.0,827.3424657534247,61,141,90,0,0
303,2014,1,25,7,IPC,166,884.5,802.6084337349398,54,54,55,3,0
304,2014,1,25,8,IPC,139,987.0,944.0215827338129,22,59,56,2,0
305,2014,1,25,9,IPC,63,194.0,547.3333333333334,35,10,18,0,0
306,2014,1,25,10,IPC,112,169.0,324.13392857142856,79,28,5,0,0
307,2014,1,25,11,IPC,494,656.0,662.0951417004048,192,179,121,2,0
308,2014,1,25,12,IPC,462,598.5,701.9069264069265,149,198,114,1,0
309,2014,1,25,13,IPC,158,1061.5,954.1772151898734,34,50,74,0,0
310,2014,1,25,14,IPC,350,566.5,622.4142857142857,154,117,78,1,0
311,2014,1,25,15,IPC,225,699.0,735.7822222222222,71,81,73,0,0
312,2014,1,25,16,IPC,630,581.0,586.2539682539683,222,318,87,3,0
313,2014,1,25,20,IPC,235,822.0,822.5872340425532,68,94,65,8,0
314,2014,1,25,21,IPC,339,875.0,813.9115044247787,102,106,130,1,0
315,2014,1,25,24,IPC,580,91.5,363.048275862069,372,146,60,2,0
316,2014,1,25,25,IPC,1,959.0,959.0,0,1,0,0,0
317,2014,1,25,27,IPC,463,621.0,647.3239740820734,166,213,84,0,0
318,2014,1,26,1,IPC,1673,14.0,156.89420203227735,1430,155,88,0,0
319,2014,1,26,2,IPC,1130,465.5,574.5477876106195,473,459,196,2,0
320,2014,1,26,4,IPC,156,417.5,543.724358974359,70,65,20,1,0
321,2014,1,26,5,IPC,243,494.0,619.0123456790124,111,75,55,2,0
322,2014,1,26,6,IPC,257,808.0,807.8054474708172,61,117,76,3,0
323,2014,1,26,7,IPC,287,664.0,777.7665505226481,73,132,81,1,0
324,2014,1,26,9,IPC,280,15.0,242.32142857142858,207,55,18,0,0
325,2014,1,26,10,IPC,472,616.0,641.9872881355932,178,179,114,1,0
326,2014,1,26,11,IPC,210,803.5,743.3523809523809,76,60,73,1,0
