state_code,state_name,district_name,dist_code,court_no,court_name
12,Jammu and Kashmir,Doda,15,7,Principal District Judge
12,Jammu and Kashmir,Bandipora,18,2,Principal District Judge
12,Jammu and Kashmir,Jammu,19,2,Principal District Judge
12,Jammu and Kashmir,Kulgam,20,2,Principal District Judge
12,Jammu and Kashmir,Samba,21,2,Principal District Judge
12,Jammu and Kashmir,Kishtwar,22,2,Principal District Judge
12,Jammu and Kashmir,Leh,16,2,Principal District Judge
12,Jammu and Kashmir,Kargil,17,2,Principal District Judge
12,Jammu and Kashmir,Srinagar,5,3,Sessions Judge
7,Jharkhand,Bokaro,1,2,Principal District and  Sessions Judge
7,Jharkhand,Dumka,2,2,District and Sessions Courts
7,Jharkhand,Koderma,3,1,Principal District  Sessions Judge
7,Jharkhand,West Singhbhum at Chaibasa,4,2,District And Sessions Court
7,Jharkhand,Gumla,5,1,District and Sessions Court
7,Jharkhand,Godda,6,2,District and Sessions Courts
7,Jharkhand,Hazaribagh,7,2,Principal District & Sessions Judge Hazaribag
7,Jharkhand,Lohardaga,8,4,Principal District Judge
7,Jharkhand,Dhanbad,9,4,District and Sessions Judge Dhanbad
7,Jharkhand,Giridih,10,1,District And Sessions Courts Giridih
7,Jharkhand,East Singhbhum at Jamshedpur,11,1,District and Sessions Courts
7,Jharkhand,Jamtara,12,1,District and Sessions Courts
7,Jharkhand,Pakur,14,1,DISTRICT AND SESSIONS COURT PAKUR
7,Jharkhand,Seraikella,15,1,District And Sessions Court
7,Jharkhand,Daltonganj,17,1,Principal District and Sessions Judge Palamau
7,Jharkhand,Simdega,18,1,District And Sessions Court
7,Jharkhand,Latehar,19,1,District and Sessions Courts
7,Jharkhand,Garhwa,20,1,Principal District Judge
7,Jharkhand,Sahibganj,21,1,Principal District Judge Espb
7,Jharkhand,RAMGARH,23,1,District and Sessions Judge Courts
7,Jharkhand,KHUNTI,24,1,Principal District and Sessions Judge Khunti
7,Jharkhand,Chatra,13,1,P.D.J. ESTABLISHMENT CHATRA JHARKHAND
7,Jharkhand,Deoghar,16,1,{PDJ Establishment Deoghar Jharkhand}
3,Karnataka,BELAGAVI,1,1,Prl.  District and Session Judge
3,Karnataka,BAGALKOT,2,1,PRL. DISTRICT AND SESSION JUDGE
3,Karnataka,VIJAYAPURA,3,1,PRL. DISTRICT AND SESSIONS COURT
3,Karnataka,KALABURAGI,4,1,Prl Dist and Sessions Court Kalaburagi
3,Karnataka,BIDAR,5,1,District and Sessions Court
3,Karnataka,RAICHUR,6,1,PRL DISTRICT AND SESSIONS JUDGE
3,Karnataka,KOPPAL,7,1,Prl.District and Sessions Court Koppal
3,Karnataka,GADAG,8,1,Prl District and Sessions Judge
3,Karnataka,DHARWAD,9,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,UTTARA KANNADA,10,1,PRL. DISTRICT AND SESSIONS JUDGE COURT
3,Karnataka,HAVERI,11,1,Prl District and Sessions Judge
3,Karnataka,BALLARI,12,1,PRL DISTRICT AND SESSIONS JUDGE
3,Karnataka,CHITRADURGA,13,1,Prl. District and Sessions Judge
3,Karnataka,DAVANGERE,14,1,PRL DISTRICT AND SESSION JUDGE
3,Karnataka,SHIVAMOGGA,15,1,Prl. District and Sessions Judge.
3,Karnataka,UDUPI,16,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,CHIKKAMAGALURU,17,1,PRL.DISTRICT AND SESSIONS JUDGE
3,Karnataka,TUMAKURU,18,1,Prl. District and Sessions Judge
3,Karnataka,KOLAR,19,1,PRL.DISTRICT AND SESSIONS JUDGE
3,Karnataka,BENGALURU RURAL,21,1,PRL. DISTRICT AND SESSION JUDGE
3,Karnataka,MANDYA,22,1,PRL. DISTRICT AND SESSIONS JUDGE
3,Karnataka,HASSAN,23,1,Prl.District and Sessions Judge
3,Karnataka,DAKSHINA KANNADA,24,17,PRL. DISTRICT  AND SESSIONS JUDGE
