,state_code,dist_code,court_no,state_name,district_name,court_name
138,3,18,1,Karnataka,TUMAKURU,Prl. District and Sessions Judge
139,3,18,22,Karnataka,TUMAKURU,V Addl. District and Sessions Judge
140,3,18,23,Karnataka,TUMAKURU,IV Addl. District and Sessions Court
141,3,19,1,Karnataka,KOLAR,PRL.DISTRICT AND SESSIONS JUDGE
142,3,21,1,Karnataka,BENGALURU RURAL,PRL. DISTRICT AND SESSION JUDGE
143,3,21,5,Karnataka,BENGALURU RURAL,IV ADDL. DISTRICT AND SESSIONS JUDGE
144,3,21,13,Karnataka,BENGALURU RURAL,III Addl. District and Sessions Judge
145,3,21,18,Karnataka,BENGALURU RURAL,V ADDITIONAL DIST  SESSIONS JUDGE
146,3,22,1,Karnataka,MANDYA,PRL. DISTRICT AND SESSIONS JUDGE
147,3,22,18,Karnataka,MANDYA,III ADL DISTRICT AND SESSIONS JUDGE
148,3,23,1,Karnataka,HASSAN,Prl.District and Sessions Judge
149,3,24,9,Karnataka,DAKSHINA KANNADA,V ADDL.DISTRICT AND SESSIONS JUDGE
150,3,24,17,Karnataka,DAKSHINA KANNADA,PRL. DISTRICT  AND SESSIONS JUDGE
151,3,25,1,Karnataka,KODAGU,PRL. DISTRICT AND SESSIONS JUDGE
152,3,25,8,Karnataka,KODAGU,II Addl DISTRICT AND SESSIONS COURT VIRAJPET
153,3,26,3,Karnataka,MYSURU,PRL. DISTRICT AND SESSIONS JUDGE
154,3,27,8,Karnataka,CHAMRAJNAGAR,ADDL. DISTRICT AND SESSIONS COURT
155,3,29,1,Karnataka,CHIKKABALLAPUR,Prl. District and Sessions Court
156,3,29,7,Karnataka,CHIKKABALLAPUR,II ADDL DISTRICT AND SESSIONS
157,4,1,1,Kerala,Kasaragod,PRINCIPAL DISTRICT AND SESSIONS COURT
158,4,2,1,Kerala,Ernakulam,DISTRICT AND SESSIONS COURT
159,4,2,32,Kerala,Ernakulam,Vth Addl District Court
160,4,2,38,Kerala,Ernakulam,Addl District and Sessions Court N.Paravur
161,4,2,52,Kerala,Ernakulam,Additional District and Sessions Court-POCSO
162,4,3,1,Kerala,Kannur,District and Sessions Court
163,4,4,1,Kerala,Thrissur,DISTRICT COURT ESTABLISHMENT
164,4,4,10,Kerala,Thrissur,Addl. Dist. and Sessions Court/MACT Irinjalakuda
165,4,5,1,Kerala,Kozhikode,District and Sessions Court
166,4,5,12,Kerala,Kozhikode,Additional District and Sessions Court
167,4,5,24,Kerala,Kozhikode,Additional District and Sessions Court III
168,4,6,1,Kerala,Alappuzha,District and Sessions Court
169,4,6,21,Kerala,Alappuzha,ADDL.DISTRICT AND SESSIONS COURT-I MAVELIKARA
170,4,7,1,Kerala,Idukki,District and sessions court Thodupuzha
171,4,8,1,Kerala,Palakkad,DISTRICT AND SESSIONS COURT PALAKKAD
172,4,8,17,Kerala,Palakkad,Addl District  Sessions Court  MACT  Ottapalam
173,4,9,1,Kerala,Thiruvananthapuram,District and Sessions Court
174,4,9,22,Kerala,Thiruvananthapuram,Addl District and Sessions Court
175,4,10,19,Kerala,Kottayam,MACT / ADDL. DISTRICT AND SESSIONS COURT
176,4,11,1,Kerala,Malappuram,District and Sessions Court
177,4,12,1,Kerala,Pathanamthitta,DISTRICT AND SESSIONS COURT PATHANAMTHITTA
178,4,13,1,Kerala,Lakshadweep,District and Sessions Court
179,4,16,1,Kerala,Wayanad,DISTRICT COURT
180,5,1,1,Himachal Pradesh,Hamirpur,DISTRICT AND SESSIONS COURT HAMIRPUR
181,5,2,1,Himachal Pradesh,Kangra,District and Sessions Court
