,state_code,dist_code,court_no,state_name,district_name,court_name,median_decision_days
211,6,18,1,Assam,Goalpara,District and Sessions Judge,445.0
212,6,20,1,Assam,Barpeta,District and Sessions Judge,16.0
213,6,21,1,Assam,Hailakandi,District and Sessions Judge,92.0
214,6,22,1,Assam,Kokrajhar,District and Sessions Judge,288.0
215,6,23,2,Assam,Kamrup,District and Sessions Judge,444.0
216,6,23,6,Assam,Kamrup,Additional District and Sessions Judge Rangia,132.0
217,6,24,3,Assam,Udalguri,District And Sessions Court,70.0
218,6,25,6,Assam,Chirang,Additional District and Sessions Judge,336.0
219,6,26,1,Assam,Karbi Anglong,District and Sessions Judge,475.5
220,6,27,1,Assam,Baksa,District and Sessions Judge,331.0
221,7,1,2,Jharkhand,Bokaro,Principal District and  Sessions Judge,31.0
222,7,2,2,Jharkhand,Dumka,District and Sessions Courts,38.0
223,7,3,1,Jharkhand,Koderma,Principal District  Sessions Judge,28.0
224,7,4,2,Jharkhand,West Singhbhum at Chaibasa,District And Sessions Court,30.0
225,7,5,1,Jharkhand,Gumla,District and Sessions Court,41.0
226,7,6,2,Jharkhand,Godda,District and Sessions Courts,35.0
227,7,7,2,Jharkhand,Hazaribagh,Principal District & Sessions Judge Hazaribag,29.0
228,7,8,4,Jharkhand,Lohardaga,Principal District Judge,59.0
229,7,9,4,Jharkhand,Dhanbad,District and Sessions Judge Dhanbad,26.0
230,7,10,1,Jharkhand,Giridih,District And Sessions Courts Giridih,31.0
231,7,11,1,Jharkhand,East Singhbhum at Jamshedpur,District and Sessions Courts,35.0
232,7,12,1,Jharkhand,Jamtara,District and Sessions Courts,29.0
233,7,14,1,Jharkhand,Pakur,DISTRICT AND SESSIONS COURT PAKUR,19.0
234,7,15,1,Jharkhand,Seraikella,District And Sessions Court,25.0
235,7,17,1,Jharkhand,Daltonganj,Principal District and Sessions Judge Palamau,45.0
236,7,18,1,Jharkhand,Simdega,District And Sessions Court,150.0
237,7,19,1,Jharkhand,Latehar,District and Sessions Courts,25.0
238,7,20,1,Jharkhand,Garhwa,Principal District Judge,42.0
239,7,21,1,Jharkhand,Sahibganj,Principal District Judge Espb,56.0
240,7,23,1,Jharkhand,RAMGARH,District and Sessions Judge Courts,47.0
241,1,34,1,Maharashtra,Kolhapur,DISTRICT AND SESSIONS COURT KOLHAPUR,216.0
242,7,24,1,Jharkhand,KHUNTI,Principal District and Sessions Judge Khunti,481.0
243,8,3,2,Bihar,Samastipur,District and Sessions Judge,37.0
244,8,17,5,Bihar,Darbhanga,District Sessions Judge Sub-Division,22.0
245,8,18,4,Bihar,Madhubani,District & Sessions Judge,88.0
246,8,31,1,Bihar,Sitamarhi,District and Sessions Judge,21.0
247,8,33,1,Bihar,Bhojpur,District and Sessional Judge Div.,25.0
248,8,34,4,Bihar,Bhagalpur,District and Sessional Judge Div.,343.0
249,8,35,1,Bihar,Gaya,District and Sessions Judge Div.,19.0
250,8,36,1,Bihar,Jehanabad,District and Sessional Judge Div.,27.0
251,9,1,11,Rajasthan,Rajsamand,DJ ADJ-Rajsamand District HQ,98.0
252,9,2,11,Rajasthan,Alwar,DJ ADJ-Alwar District HQ,259.0
253,9,2,12,Rajasthan,Alwar,LABOUR-Alwar District HQ,1416.0
254,9,3,20,Rajasthan,Dausa,POCSO-Dausa District HQ,49.0
255,9,6,8,Rajasthan,Bikaner,DJ ADJ - Bikaner District HQ,148.0
256,9,7,11,Rajasthan,Ganganagar,DJ ADJ -Shri Ganganagar District HQ,197.0
257,9,7,12,Rajasthan,Ganganagar,WA Cases -Shri Ganganagar District HQ,74.0
258,9,8,11,Rajasthan,Merta (Nagaur),DJ-Merta District HQ,421.0
259,9,9,12,Rajasthan,Udaipur,DJ ADJ-Udaipur District HQ,225.0
260,9,9,18,Rajasthan,Udaipur,Labor-Udaipur District HQ,871.5
261,9,9,21,Rajasthan,Udaipur,WAC-Udaipur District HQ,240.0
262,9,9,22,Rajasthan,Udaipur,Rent-Udaipur Districe HQ,335.0
263,9,11,2,Rajasthan,Hanumangarh,DJ ADJ-Hanumangarh District HQ,157.0
264,9,13,13,Rajasthan,Bharatpur,DJ ADJ - Bharatpur District HQ,347.0
265,9,13,16,Rajasthan,Bharatpur,SPCL COURT - Bharatpur District HQ,394.0
266,9,13,18,Rajasthan,Bharatpur,LABOUR - Bharatpur District HQ,1312.5
267,9,14,9,Rajasthan,Ajmer,DJ ADJ-Ajmer District HQ,208.0
268,9,14,13,Rajasthan,Ajmer,Labor-Ajmer District HQ,473.0
269,9,18,2,Rajasthan,Jhunjhunu,DJ ADJ - Jhunjhunu District HQ,309.0
270,9,22,17,Rajasthan,Jhalawar,ADJ - Aklera Jhalawar District,467.0
271,9,22,23,Rajasthan,Jhalawar,ADJ - Bhawanimandi Jhalawar District,738.0
272,9,23,3,Rajasthan,Pratapgarh,DJ ADJ COURT PRATAPGARH DISTRICT HQ,97.0
273,9,24,5,Rajasthan,Dungarpur,DJ ADJ Dungarpur District HQ,76.0
274,9,25,6,Rajasthan,Banswara,DJ ADJ Banswara District HQ,163.0
275,9,25,20,Rajasthan,Banswara,POCSO Banswara District HQ,119.5
276,9,26,7,Rajasthan,Sirohi,DJ ADJ-Sirohi District HQ,247.0
277,9,27,4,Rajasthan,Balotra Barmer,DJ ADJ-Balotra District HQ,439.0
278,9,29,5,Rajasthan,Karauli,DJ ADJ-Karauli District HQ,325.0
279,9,30,6,Rajasthan,Chittorgarh,DJ ADJ - Chittorgarh District HQ,221.0
280,9,31,11,Rajasthan,Bhilwara,DJ/ADJ - Bhilwara District HQ,379.0
281,9,31,19,Rajasthan,Bhilwara,WA - Bhilwara District HQ,492.5
282,9,31,32,Rajasthan,Bhilwara,ADDITIONAL DISTRICT SESSION JUDGE GULABPURA,549.5
283,9,32,4,Rajasthan,Jaiselmer,DJ-Jaisalmer District HQ,114.0
284,9,32,17,Rajasthan,Jaiselmer,Fam-Jaisalmer District HQ,492.0
285,9,33,22,Rajasthan,Churu,DJ ADJ DISTRICT HQ CHURU,220.5
286,9,34,2,Rajasthan,Dholpur,DJ ADJ - Dholpur District HQ,274.0
287,9,34,6,Rajasthan,Dholpur,SPCL - Dholpur District HQ,630.0
