,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
225,4.0,15.0,14.0,24677.0,24555.0,309.0,442.9574424760741
226,4.0,16.0,2.0,18234.0,16008.0,148.0,294.3965517241379
227,4.0,2.0,5.0,28652.0,28530.0,375.0,500.54560112162636
228,4.0,3.0,5.0,16625.0,16561.0,69.0,140.46953686371597
229,4.0,9.0,5.0,1679.0,1679.0,1112.0,1251.3787969029183
230,5.0,1.0,1.0,9704.0,8628.0,167.0,295.25822902178953
231,5.0,2.0,1.0,14716.0,13700.0,145.0,337.1543795620438
232,5.0,4.0,1.0,12218.0,10294.0,91.0,226.14464736739848
233,5.0,5.0,1.0,8978.0,8439.0,110.0,229.74570446735396
234,5.0,5.0,11.0,2373.0,2183.0,158.0,313.11314704535044
235,5.0,6.0,17.0,10324.0,9625.0,86.0,246.02888311688312
236,5.0,7.0,1.0,7162.0,5486.0,47.0,157.0462996718921
237,5.0,8.0,1.0,8492.0,6340.0,65.0,194.52381703470033
238,5.0,9.0,2.0,5566.0,4262.0,82.0,249.86227123416236
239,5.0,10.0,1.0,10542.0,9525.0,63.0,155.9781627296588
240,5.0,11.0,9.0,1222.0,1089.0,247.0,460.0330578512397
241,5.0,11.0,10.0,7594.0,5227.0,135.0,362.60187488042857
242,5.0,9.0,3.0,0.0,0.0,-1.0,-1.0
243,5.0,7.0,2.0,1096.0,1017.0,180.0,300.5368731563422
244,5.0,1.0,4.0,12120.0,8544.0,116.0,235.41385767790263
245,5.0,2.0,8.0,10853.0,9088.0,61.0,194.43045774647888
246,5.0,4.0,2.0,5099.0,4054.0,191.0,332.9629995066601
247,5.0,4.0,3.0,35939.0,13459.0,106.0,273.75577680362585
248,5.0,5.0,5.0,4774.0,3671.0,181.0,374.16208117679105
249,5.0,5.0,7.0,23096.0,15835.0,166.0,280.044205873066
250,5.0,5.0,8.0,3139.0,2257.0,176.0,292.3894550287993
251,5.0,5.0,12.0,8016.0,5041.0,60.0,187.03134298750248
252,5.0,6.0,2.0,4164.0,2546.0,234.0,353.1087981146897
253,5.0,6.0,4.0,4255.0,2080.0,186.0,306.3245192307692
254,5.0,6.0,5.0,4977.0,1652.0,191.0,289.65799031476996
255,5.0,6.0,7.0,5098.0,3918.0,229.0,373.90224604389994
256,5.0,6.0,9.0,2157.0,1961.0,140.0,292.57623661397247
257,5.0,6.0,19.0,10198.0,7334.0,172.0,374.63212435233163
258,5.0,8.0,4.0,17908.0,9294.0,68.0,189.66655907036798
259,5.0,9.0,4.0,4517.0,4132.0,147.0,256.9106969990319
260,5.0,9.0,6.0,1303.0,1036.0,339.0,520.0366795366796
261,5.0,9.0,8.0,818.0,795.0,327.0,422.6704402515723
262,5.0,10.0,3.0,19008.0,16201.0,65.0,205.3416455774335
263,5.0,11.0,11.0,23409.0,15765.0,33.0,252.93771011734856
264,5.0,10.0,2.0,7090.0,6950.0,139.0,230.98776978417266
265,5.0,1.0,6.0,547.0,462.0,506.0,859.469696969697
266,5.0,2.0,4.0,2196.0,1915.0,295.0,463.0966057441253
267,5.0,2.0,12.0,3762.0,2681.0,179.0,317.19321148825065
268,5.0,2.0,14.0,4948.0,4360.0,120.0,250.4295871559633
269,5.0,2.0,16.0,1937.0,1408.0,273.5,620.6605113636364
270,5.0,11.0,1.0,1954.0,1903.0,242.0,378.5801366263794
271,5.0,11.0,8.0,5686.0,3781.0,69.0,197.33377413382703
272,6.0,2.0,2.0,7334.0,7042.0,22.0,223.900454416359
273,6.0,3.0,2.0,5620.0,5484.0,26.0,245.5711159737418
274,6.0,4.0,2.0,4712.0,4668.0,22.0,136.23714652956298
275,6.0,5.0,2.0,5000.0,4721.0,16.0,154.61575937301419
276,6.0,6.0,2.0,5212.0,4248.0,123.0,284.6779661016949
277,6.0,7.0,2.0,5704.0,5642.0,114.0,254.97217298830202
278,6.0,8.0,2.0,3345.0,3319.0,472.0,617.9792106056041
