,state_code,dist_code,court_no,median,mean,case_count
2249,8.0,29.0,3.0,2936.0,2721.748538011696,3459.0
2250,8.0,30.0,1.0,2409.0,2344.1884057971015,194.0
2251,8.0,30.0,2.0,2550.0,2432.6666666666665,23.0
2252,8.0,30.0,3.0,2537.0,2443.0947521865887,1597.0
2253,8.0,30.0,4.0,3128.0,3143.025,445.0
2254,8.0,30.0,5.0,3134.0,3156.293103448276,1756.0
2255,8.0,30.0,6.0,3067.5,3067.5,132.0
2256,8.0,30.0,7.0,2978.0,2978.0,40.0
2257,8.0,30.0,8.0,1532.0,1767.5555555555557,17.0
2258,8.0,31.0,1.0,2248.0,2276.367741935484,337.0
2259,8.0,31.0,2.0,2481.0,2465.294117647059,1826.0
2260,8.0,31.0,3.0,2542.0,2485.779761904762,307.0
2261,8.0,31.0,4.0,3165.5,3158.1,105.0
2262,8.0,31.0,5.0,3058.0,3147.3333333333335,59.0
2263,8.0,31.0,6.0,3203.0,3220.64,25.0
2264,8.0,33.0,1.0,2988.5,2685.3928571428573,549.0
2265,8.0,33.0,2.0,3085.0,3018.877192982456,2134.0
2266,8.0,33.0,3.0,2613.0,2592.4285714285716,238.0
2267,8.0,33.0,4.0,3117.0,3117.0,54.0
2268,8.0,33.0,5.0,3189.0,3189.75,89.0
2269,8.0,34.0,1.0,2386.0,2311.777777777778,177.0
2270,8.0,34.0,2.0,2524.0,2465.755162241888,867.0
2271,8.0,34.0,3.0,2412.0,2314.101694915254,139.0
2272,8.0,34.0,4.0,3272.0,3138.6774193548385,528.0
2273,8.0,34.0,5.0,3012.0,2990.1309523809523,1853.0
2274,8.0,34.0,6.0,3025.0,2775.5555555555557,152.0
2275,8.0,34.0,7.0,3153.0,3140.4,85.0
2276,8.0,34.0,10.0,3097.5,2905.375,75.0
2277,8.0,35.0,1.0,3177.0,3242.818181818182,766.0
2278,8.0,35.0,2.0,3176.5,3194.9655172413795,2184.0
2279,8.0,35.0,3.0,3103.0,3112.1111111111113,242.0
2280,8.0,35.0,4.0,3086.5,3079.8333333333335,24.0
2281,8.0,35.0,5.0,3025.0,3042.4,5.0
2282,8.0,36.0,1.0,3185.5,3121.5,244.0
2283,8.0,36.0,2.0,3155.0,3164.464285714286,680.0
2284,8.0,36.0,3.0,3086.0,3123.4,47.0
