state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days,state_name,district_name,court_name
13.0,30.0,9.0,7342.0,3670.0,26.0,209.01471389645775,Uttar Pradesh,Agra,"Cheif Judical Magistrate,Railway"
17.0,31.0,1.0,49768.0,49548.0,26.0,389.387664486962,Gujarat,Vadodara,vadodara_district Court
13.0,31.0,2.0,17139.0,15016.0,26.0,171.67234949387318,Uttar Pradesh,Pratapgarh,District and session judge
13.0,16.0,2.0,24180.0,23228.0,26.0,223.80088686068538,Uttar Pradesh,Sitapur,District and Sessions Judge
6.0,3.0,2.0,5620.0,5484.0,26.0,245.5711159737418,Assam,Sivasagar,District and Sessions Judge Court
13.0,52.0,2.0,13313.0,12781.0,27.0,177.4779751193177,Uttar Pradesh,Maharajganj,District and Sessions Judge
13.0,13.0,2.0,15775.0,14711.0,27.0,180.27510026510774,Uttar Pradesh,Pilibhit,District and Sessions Judge
3.0,10.0,18.0,1000.0,973.0,27.0,138.70503597122305,Karnataka,UTTARA KANNADA,"1st ADDL. Dist AND SESSIONS JUDGE,SITTING AT SIRSI"
13.0,26.0,2.0,36387.0,35433.0,27.0,196.3808878728869,Uttar Pradesh,Muzaffarnagar,District and Session judge
13.0,12.0,2.0,19793.0,19472.0,27.0,196.46523212818408,Uttar Pradesh,Jaunpur,District  and Sessions Judge
12.0,4.0,4.0,29928.0,28597.0,27.0,88.45284470398992,Jammu and Kashmir,Anantnag,Chief Judicial Magistrate
17.0,28.0,1.0,20976.0,20872.0,27.0,391.67717516289764,Gujarat,Patan,DISTRICT AND SESSIONS COURT PATAN
17.0,23.0,1.0,21097.0,21001.0,27.0,379.3992667015857,Gujarat,Jamnagar,"DISTRICT AND SESSIONS COURT, JAMNAGAR"
16.0,24.0,3.0,23487.0,22611.0,27.0,210.25836981999907,West Bengal,Paschim Bardhaman,Chief Judicial Magistrate
8.0,36.0,1.0,2626.0,2626.0,27.0,207.94630616907844,Bihar,Jehanabad,District and Sessional Judge Div.
13.0,18.0,2.0,33208.0,30001.0,28.0,250.79807339755345,Uttar Pradesh,Budaun,District and Session Judge
16.0,22.0,5.0,15995.0,15704.0,28.0,241.30310748853802,West Bengal,Nadia,District and Sessions Judge
3.0,20.0,7.0,14769.0,14712.0,28.0,250.1380505709625,Karnataka,BENGALURU,PRL. CITY CIVIL AND SESSIONS JUDGE
7.0,4.0,2.0,6729.0,6704.0,28.0,293.62544749403344,Jharkhand,West Singhbhum at Chaibasa,District And Sessions Court
11.0,15.0,14.0,864.0,841.0,28.0,392.3103448275862,Orissa,Puri,"Additional District and Sessions Judge, Nimapada"
13.0,64.0,2.0,12880.0,11866.0,28.0,207.83802460812404,Uttar Pradesh,Hamirpur,District and Sessions Judge
1.0,37.0,2.0,106706.0,100783.0,28.0,186.62268438129448,Maharashtra,Mumbai City Civil Court,CITY CIVIL AND SESSION COURT MUMBAI
