,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count
228,2017,3,25,9018,-1,4668,0.5146069893065814,4403
229,2017,3,19,20286,-1,10762,0.5128669462447579,10222
230,2017,3,7,13143,-1,7566,0.48472035364212956,8043
231,2017,3,22,28773,-1,15787,0.46392782626583207,18242
232,2017,3,26,48769,-1,26198,0.4472556551429791,32377
233,2017,3,6,19947,-1,9800,0.4476930105070809,12090
234,2017,3,28,14776,-1,7089,0.4245672875366832,9608
235,2017,3,15,35833,-1,19129,0.5370297585626053,16491
236,2017,3,18,43808,-1,24957,0.5459616730836542,20755
237,2017,3,16,19956,-1,12946,0.5924942791762013,8904
238,2017,3,10,17530,-1,9061,0.4550293777934013,10852
239,2017,3,30,8230,-1,5282,0.5802482698011644,3821
240,2018,3,3,24179,-1,13195,0.48363449767254335,14088
241,2018,3,4,28641,-1,14368,0.4996348715095455,14389
242,2018,3,1,75780,-1,41325,0.4976697135012103,41712
243,2018,3,2,21122,-1,10985,0.4697857417782149,12398
244,2018,3,20,223127,-1,127608,0.5955365559983946,86666
245,2018,3,21,43377,-1,27030,0.491338410921055,27983
246,2018,3,12,41939,-1,27082,0.6160040032754072,16882
247,2018,3,5,27090,-1,16778,0.5942691176991464,11455
248,2018,3,27,13904,-1,7081,0.44049766718507,8994
249,2018,3,29,17641,-1,9825,0.4630720648536551,11392
250,2018,3,17,20243,-1,10701,0.5022057443213817,10607
251,2018,3,13,25902,-1,14044,0.5363785662452737,12139
252,2018,3,24,48309,-1,30629,0.5921279022560751,21098
253,2018,3,14,26769,-1,16411,0.5715529551074426,12302
254,2018,3,9,36058,-1,23463,0.6163930119532379,14602
255,2018,3,8,14061,-1,8473,0.5632894561893366,6569
256,2018,3,23,37146,-1,19429,0.4879941729040036,20385
257,2018,3,11,21215,-1,9846,0.4651360544217687,11322
258,2018,3,25,11308,-1,6115,0.5942085317267515,4176
259,2018,3,19,20509,-1,10449,0.4876102477950441,10980
260,2018,3,7,14274,-1,8209,0.46549475474907853,9426
261,2018,3,22,31553,-1,15252,0.4362325887366645,19711
262,2018,3,26,53735,-1,26217,0.4421601200816285,33076
263,2018,3,6,26155,-1,11724,0.5191285866099894,10860
264,2018,3,28,13196,-1,5897,0.383370172929398,9485
265,2018,3,15,34512,-1,16877,0.47743924863503917,18472
266,2018,3,18,43822,-1,25524,0.5393229937032498,21802
267,2018,3,16,19779,-1,12599,0.568854975618566,9549
268,2018,3,10,22383,-1,10166,0.4504807905348518,12401
269,2018,3,30,9507,-1,5050,0.5434782608695652,4242
